,Date,Precipitation
919,07/08/2021,0
920,07/09/2021,0
921,07/10/2021,0
922,07/11/2021,0
923,07/12/2021,0
924,07/13/2021,0
925,07/14/2021,0
926,07/15/2021,30
927,07/16/2021,0
928,07/17/2021,0
929,07/18/2021,270
930,07/19/2021,271
931,07/20/2021,250
932,07/21/2021,0
933,07/22/2021,0
934,07/23/2021,0
935,07/24/2021,0
936,07/25/2021,0
937,07/26/2021,0
938,07/27/2021,0
939,07/28/2021,160
940,07/29/2021,0
941,07/30/2021,0
942,07/31/2021,20
943,08/01/2021,70
944,08/02/2021,120
945,08/03/2021,0
946,08/04/2021,0
947,08/05/2021,20
948,08/06/2021,0
949,08/07/2021,0
950,08/08/2021,0
951,08/09/2021,100
952,08/10/2021,0
953,08/11/2021,0
954,08/12/2021,0
955,08/13/2021,0
956,08/14/2021,0
957,08/15/2021,0
958,08/16/2021,50
959,08/17/2021,4
960,08/18/2021,0
961,08/19/2021,0
962,08/20/2021,0
963,08/21/2021,0
964,08/22/2021,0
965,08/23/2021,0
966,08/24/2021,15
967,08/25/2021,60
968,08/26/2021,0
969,08/27/2021,40
970,08/28/2021,160
971,08/29/2021,50
972,08/30/2021,0
973,08/31/2021,42
974,09/01/2021,50
975,09/02/2021,0
976,09/03/2021,0
977,09/04/2021,0
978,09/05/2021,0
979,09/06/2021,0
980,09/07/2021,0
981,09/08/2021,0
982,09/09/2021,0
983,09/10/2021,0
984,09/11/2021,0
985,09/12/2021,0
986,09/13/2021,0
987,09/14/2021,40
988,09/15/2021,0
989,09/16/2021,2
990,09/17/2021,100
991,09/18/2021,5
992,09/19/2021,0
993,09/20/2021,10
994,09/21/2021,2
995,09/22/2021,7
996,09/23/2021,0
997,09/24/2021,0
998,09/25/2021,0
999,09/26/2021,0
1000,09/27/2021,20
1001,09/28/2021,40
1002,09/29/2021,8
1003,09/30/2021,0
1004,10/01/2021,0
1005,10/02/2021,0
1006,10/03/2021,0
1007,10/04/2021,0
1008,10/05/2021,0
1009,10/06/2021,0
1010,10/07/2021,0
1011,10/08/2021,0
1012,10/09/2021,0
1013,10/10/2021,0
1014,10/11/2021,60
1015,10/12/2021,30
1016,10/13/2021,0
1017,10/14/2021,0
1018,10/15/2021,30
1019,10/16/2021,0
1020,10/17/2021,0
1021,10/18/2021,0
1022,10/19/2021,0
1023,10/20/2021,0
1024,10/21/2021,3
1025,10/22/2021,0
1026,10/23/2021,0
1027,10/24/2021,0
1028,10/25/2021,0
1029,10/26/2021,0
1030,10/27/2021,0
1031,10/28/2021,0
1032,10/29/2021,0
1033,10/30/2021,0
1034,10/31/2021,0
1035,11/01/2021,0
1036,11/02/2021,40
1037,11/03/2021,1
1038,11/04/2021,90
1039,11/05/2021,40
1040,11/06/2021,2
1041,11/07/2021,10
1042,11/08/2021,1
1043,11/09/2021,0
1044,11/10/2021,0
1045,11/11/2021,0
1046,11/12/2021,0
1047,11/13/2021,0
1048,11/14/2021,0
1049,11/15/2021,0
1050,11/16/2021,0
1051,11/17/2021,0
1052,11/18/2021,4
1053,11/19/2021,13
1054,11/20/2021,0
1055,11/21/2021,0
1056,11/22/2021,0
1057,11/23/2021,0
1058,11/24/2021,0
1059,11/25/2021,0
1060,11/26/2021,2
1061,11/27/2021,0
1062,11/28/2021,10
1063,11/29/2021,4
1064,11/30/2021,0
1065,12/01/2021,1
1066,12/02/2021,0
1067,12/03/2021,0
1068,12/04/2021,0
1069,12/05/2021,20
1070,12/06/2021,27
1071,12/07/2021,70
1072,12/08/2021,0
1073,12/09/2021,0
1074,12/10/2021,20
1075,12/11/2021,70
1076,12/12/2021,80
1077,12/13/2021,21
1078,12/14/2021,0
1079,12/15/2021,0
1080,12/16/2021,50
1081,12/17/2021,0
1082,12/18/2021,9
1083,12/19/2021,1
1084,12/20/2021,9
1085,12/21/2021,4
1086,12/22/2021,0
1087,12/23/2021,3
1088,12/24/2021,130
1089,12/25/2021,12
1090,12/26/2021,61
1091,12/27/2021,140
1092,12/28/2021,5
1093,12/29/2021,10
1094,12/30/2021,5
1095,12/31/2021,8
1096,01/01/2022,1
1097,01/02/2022,0
1098,01/03/2022,22
1099,01/04/2022,0
1100,01/05/2022,3
1101,01/06/2022,30
1102,01/07/2022,0
1103,01/08/2022,45
1104,01/09/2022,7
1105,01/10/2022,0
1106,01/11/2022,0
1107,01/12/2022,0
1108,01/13/2022,0
1109,01/14/2022,0
1110,01/15/2022,0
1111,01/16/2022,0
1112,01/17/2022,13
1113,01/18/2022,0
1114,01/19/2022,0
1115,01/20/2022,9
1116,01/21/2022,0
1117,01/22/2022,2
1118,01/23/2022,0
1119,01/24/2022,0
1120,01/25/2022,1
1121,01/26/2022,6
1122,01/27/2022,8
1123,01/28/2022,7
1124,01/29/2022,3
1125,01/30/2022,0
1126,01/31/2022,0
1127,02/01/2022,2
1128,02/02/2022,11
1129,02/03/2022,0
1130,02/04/2022,0
1131,02/05/2022,0
1132,02/06/2022,0
1133,02/07/2022,20
1134,02/08/2022,1
1135,02/09/2022,1
1136,02/10/2022,0
1137,02/11/2022,7
1138,02/12/2022,0
1139,02/13/2022,0
1140,02/14/2022,0
1141,02/15/2022,2
1142,02/16/2022,0
1143,02/17/2022,37
1144,02/18/2022,0
1145,02/19/2022,0
1146,02/20/2022,0
1147,02/21/2022,2
1148,02/22/2022,0
1149,02/23/2022,20
1150,02/24/2022,0
1151,02/25/2022,0
1152,02/26/2022,8
1153,02/27/2022,0
1154,02/28/2022,0
1155,03/01/2022,0
1156,03/02/2022,0
1157,03/03/2022,8
1158,03/04/2022,10
1159,03/05/2022,0
1160,03/06/2022,0
1161,03/07/2022,2
1162,03/08/2022,0
1163,03/09/2022,0
1164,03/10/2022,0
1165,03/11/2022,0
1166,03/12/2022,0
1167,03/13/2022,0
1168,03/14/2022,0
1169,03/15/2022,0
1170,03/16/2022,80
1171,03/17/2022,0
1172,03/18/2022,0
1173,03/19/2022,0
1174,03/20/2022,0
1175,03/21/2022,0
1176,03/22/2022,0
1177,03/23/2022,0
1178,03/24/2022,0
1179,03/25/2022,0
1180,03/26/2022,0
1181,03/27/2022,0
1182,03/28/2022,0
1183,03/29/2022,0
1184,03/30/2022,0
1185,03/31/2022,4
